exit,hour,value
1,1,3
1,2,30
1,3,26
1,4,9
1,5,18
1,6,20
1,7,23
1,8,17
1,9,20
1,10,6
1,11,29
1,12,15
1,13,29
1,14,13
1,15,26
1,16,26
2,1,16
2,2,19
2,3,20
2,4,14
2,5,0
2,6,12
2,7,12
2,8,24
2,9,17
2,10,6
2,11,20
2,12,6
2,13,23
2,14,3
2,15,19
2,16,8
3,1,26
3,2,18
3,3,4
3,4,21
3,5,16
3,6,11
3,7,13
3,8,9
3,9,26
3,10,18
3,11,29
3,12,12
3,13,27
3,14,10
3,15,10
3,16,22
4,1,14
4,2,19
4,3,2
4,4,7
4,5,8
4,6,22
4,7,6
4,8,17
4,9,19
4,10,29
4,11,5
4,12,5
4,13,23
4,14,25
4,15,26
4,16,3
5,1,29
5,2,24
5,3,3
5,4,9
5,5,28
5,6,27
5,7,25
5,8,30
5,9,16
5,10,3
5,11,12
5,12,3
5,13,24
5,14,28
5,15,19
5,16,28
6,1,29
6,2,12
6,3,28
6,4,14
6,5,29
6,6,2
6,7,18
6,8,21
6,9,17
6,10,15
6,11,18
6,12,3
6,13,8
6,14,23
6,15,23
6,16,18
