exit,hour,value
1,1,0
1,2,2
1,3,0
1,4,8
1,5,0
1,6,2
1,7,11
1,8,9
1,9,8
1,10,9
1,11,17
1,12,15
1,13,11
1,14,18
1,15,5
1,16,1
2,1,6
2,2,2
2,3,6
2,4,2
2,5,0
2,6,2
2,7,19
2,8,18
2,9,15
2,10,7
2,11,12
2,12,18
2,13,10
2,14,9
2,15,11
2,16,9
3,1,5
3,2,8
3,3,8
3,4,0
3,5,0
3,6,2
3,7,5
3,8,21
3,9,14
3,10,13
3,11,8
3,12,17
3,13,12
3,14,6
3,15,19
3,16,8
4,1,0
4,2,0
4,3,3
4,4,1
4,5,0
4,6,2
4,7,14
4,8,13
4,9,9
4,10,13
4,11,18
4,12,24
4,13,14
4,14,3
4,15,9
4,16,1
5,1,5
5,2,0
5,3,8
5,4,2
5,5,3
5,6,10
5,7,4
5,8,21
5,9,25
5,10,9
5,11,22
5,12,11
5,13,3
5,14,8
5,15,9
5,16,3
6,1,2
6,2,0
6,3,0
6,4,6
6,5,7
6,6,0
6,7,4
6,8,10
6,9,15
6,10,18
6,11,11
6,12,8
6,13,1
6,14,6
6,15,2
6,16,9
