exit,hour,value
1,1,0
1,2,2
1,3,0
1,4,0
1,5,0
1,6,2
1,7,0
1,8,9
1,9,0
1,10,49
1,11,57
1,12,61
1,13,37
1,14,66
1,15,70
1,16,55
2,1,6
2,2,2
2,3,0
2,4,0
2,5,0
2,6,2
2,7,4
2,8,11
2,9,28
2,10,49
2,11,51
2,12,47
2,13,38
2,14,65
2,15,60
2,16,50
3,1,5
3,2,8
3,3,8
3,4,0
3,5,0
3,6,2
3,7,5
3,8,12
3,9,34
3,10,43
3,11,54
3,12,44
3,13,40
3,14,48
3,15,54
3,16,59
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,2
4,7,4
4,8,13
4,9,26
4,10,58
4,11,61
4,12,59
4,13,53
4,14,54
4,15,64
4,16,55
5,1,2
5,2,0
5,3,8
5,4,2
5,5,0
5,6,2
5,7,4
5,8,14
5,9,31
5,10,48
5,11,46
5,12,50
5,13,66
5,14,54
5,15,56
5,16,67
6,1,2
6,2,0
6,3,2
6,4,0
6,5,0
6,6,0
6,7,4
6,8,8
6,9,8
6,10,6
6,11,14
6,12,12
6,13,9
6,14,14
6,15,0
6,16,4
